title,actor,year
The Hours and Times,Ian Hart,2019
Narcissister Organ Player,Narcissister,2019
Chef Flynn,Cameron Yates,2019
I am Not a Witch,Maggie Mulubwa,2019
Divide and Conquer: The Story of Roger Ailes,John Lithgow,2019
Black Panther,Chadwick Boseman,2018
Black Panther,Michael B. Jordan,2018
Black Panther,Lupita Nyong'o,2018
Black Panther,Danai Gurira,2018
Black Panther,Martin Freeman,2018
Black Panther,Angela Bassett,2018
Black Panther,Forest Whitaker,2018
Black Panther,Andy Serkis,2018
Black Panther,Daniel Kaluuya,2018
Black Panther,Letitia Wright,2018
Avengers: Infinity War,"Robert Downey, Jr.",2018
Avengers: Infinity War,Chris Hemsworth,2018
Avengers: Infinity War,Mark Ruffalo,2018
Avengers: Infinity War,Chris Evans,2018
Avengers: Infinity War,Scarlett Johansson,2018
Avengers: Infinity War,Benedict Cumberbatch,2018
Avengers: Infinity War,Don Cheadle,2018
Avengers: Infinity War,Tom Holland,2018
Avengers: Infinity War,Chadwick Boseman,2018
Avengers: Infinity War,Paul Bettany,2018
Avengers: Infinity War,Elizabeth Olsen,2018
Avengers: Infinity War,Sebastian Stan,2018
Avengers: Infinity War,Danai Gurira,2018
Avengers: Infinity War,Letitia Wright,2018
Avengers: Infinity War,Dave Bautista,2018
Avengers: Infinity War,Zoe Saldana,2018
Avengers: Infinity War,Josh Brolin,2018
Avengers: Infinity War,Chris Pratt,2018
Avengers: Infinity War,Benedict Wong,2018
Avengers: Infinity War,Pom Klementieff,2018
Avengers: Infinity War,Karen Gillan,2018
Avengers: Infinity War,Vin Diesel,2018
Avengers: Infinity War,Bradley Cooper,2018
Incredibles 2,Craig T. Nelson,2018
Incredibles 2,Holly Hunter,2018
Incredibles 2,Sarah Vowell,2018
Incredibles 2,Huckleberry Milner*,2018
Incredibles 2,Samuel L. Jackson,2018
Jurassic World: Fallen Kingdom,Chris Pratt,2018
Jurassic World: Fallen Kingdom,Bryce Dallas Howard,2018
Deadpool 2,Ryan Reynolds,2018
Deadpool 2,Josh Brolin,2018
Deadpool 2,Morena Baccarin,2018
Deadpool 2,T.J. Miller,2018
Deadpool 2,Leslie Uggams,2018
Deadpool 2,Brianna Hildebrand,2018
Deadpool 2,Stefan Kapicic,2018
Deadpool 2,Zazie Beetz,2018
Deadpool 2,Karan Soni,2018
Dr. Seuss' The Grinch,Benedict Cumberbatch,2018
Aquaman,Jason Momoa,2018
Aquaman,Amber Heard,2018
Aquaman,Willem Dafoe,2018
Aquaman,Patrick Wilson,2018
Aquaman,Nicole Kidman,2018
Aquaman,Dolph Lundgren,2018
Aquaman,Yahya Abdul-Mateen II,2018
Jumanji: Welcome to the Jungle,Dwayne Johnson,2018
Jumanji: Welcome to the Jungle,Jack Black,2018
Jumanji: Welcome to the Jungle,Kevin Hart,2018
Jumanji: Welcome to the Jungle,Karen Gillan,2018
Jumanji: Welcome to the Jungle,Nick Jonas,2018
Mission: Impossible-Fallout,Tom Cruise,2018
Mission: Impossible-Fallout,Henry Cavill,2018
Mission: Impossible-Fallout,Ving Rhames,2018
Mission: Impossible-Fallout,Simon Pegg,2018
Mission: Impossible-Fallout,Rebecca Ferguson,2018
Mission: Impossible-Fallout,Sean Harris,2018
Mission: Impossible-Fallout,Angela Bassett,2018
Mission: Impossible-Fallout,Michelle Monaghan,2018
Mission: Impossible-Fallout,Alec Baldwin,2018
Ant-Man and the Wasp,Paul Rudd,2018
Ant-Man and the Wasp,Evangeline Lilly,2018
Ant-Man and the Wasp,Michael PeÃ±a,2018
Ant-Man and the Wasp,Walton Goggins,2018
Ant-Man and the Wasp,Hannah John-Kamen,2018
Ant-Man and the Wasp,Michelle Pfeiffer,2018
Ant-Man and the Wasp,Laurence Fishburne,2018
Ant-Man and the Wasp,Michael Douglas,2018
Solo: A Star Wars Story,Alden Ehrenreich,2018
Solo: A Star Wars Story,Woody Harrelson,2018
Solo: A Star Wars Story,Emilia Clarke,2018
Solo: A Star Wars Story,Donald Glover,2018
Solo: A Star Wars Story,Thandie Newton,2018
Solo: A Star Wars Story,Paul Bettany,2018
Solo: A Star Wars Story,Phoebe Waller-Bridge,2018
Solo: A Star Wars Story,Joonas Suotamo,2018
Solo: A Star Wars Story,Jon Favreau,2018
Venom,Tom Hardy,2018
Venom,Michelle Williams,2018
Venom,Riz Ahmed,2018
A Star is Born,Bradley Cooper,2018
A Star is Born,Lady Gaga,2018
Bohemian Rhapsody,Rami Malek,2018
A Quiet Place,Emily Blunt,2018
A Quiet Place,John Krasinski,2018
Ralph Breaks The Internet,John C. Reilly,2018
Ralph Breaks The Internet,Sarah Silverman,2018
Crazy Rich Asians,Constance Wu,2018
Crazy Rich Asians,Henry Golding,2018
Hotel Transylvania 3: Summer Vacation,Adam Sandler,2018
Hotel Transylvania 3: Summer Vacation,Andy Samberg,2018
Hotel Transylvania 3: Summer Vacation,Selena Gomez,2018
Hotel Transylvania 3: Summer Vacation,Kevin James,2018
Hotel Transylvania 3: Summer Vacation,David Spade,2018
Hotel Transylvania 3: Summer Vacation,Steve Buscemi,2018
Hotel Transylvania 3: Summer Vacation,Keegan-Michael Key,2018
Halloween,Jamie Lee Curtis,2018
Halloween,Nick Castle,2018
Halloween,James Jude Courtney,2018
Fantastic Beasts: The Crimes of Grindelwald,Johnny Depp,2018
Fantastic Beasts: The Crimes of Grindelwald,Eddie Redmayne,2018
Fantastic Beasts: The Crimes of Grindelwald,ZoÃ« Kravitz,2018
Fantastic Beasts: The Crimes of Grindelwald,Callum Turner,2018
Fantastic Beasts: The Crimes of Grindelwald,Ezra Miller,2018
Fantastic Beasts: The Crimes of Grindelwald,Katherine Waterston,2018
Fantastic Beasts: The Crimes of Grindelwald,Jude Law,2018
Fantastic Beasts: The Crimes of Grindelwald,Alison Sudol,2018
Fantastic Beasts: The Crimes of Grindelwald,Dan Fogler,2018
Fantastic Beasts: The Crimes of Grindelwald,Claudia Kim,2018
The Meg,Jason Statham,2018
The Meg,Li Bingbing,2018
The Meg,Rainn Wilson,2018
The Meg,Ruby Rose,2018
The Meg,Winston Chao,2018
The Meg,Cliff Curtis,2018
Ocean's 8,Sandra Bullock,2018
Ocean's 8,Cate Blanchett,2018
Ocean's 8,Anne Hathaway,2018
Ocean's 8,Mindy Kaling,2018
Ocean's 8,Sarah Paulson,2018
Ocean's 8,Awkwafina*,2018
Ocean's 8,Rihanna,2018
Ocean's 8,Helena Bonham Carter,2018
Mary Poppins Returns,Emily Blunt,2018
Mary Poppins Returns,Colin Firth,2018
Mary Poppins Returns,Lin-Manuel Miranda,2018
Mary Poppins Returns,Julie Walters,2018
Mary Poppins Returns,Meryl Streep,2018
Ready Player One,Tye Sheridan,2018
Ready Player One,Olivia Cooke,2018
Ready Player One,Ben Mendelsohn,2018
Ready Player One,Simon Pegg,2018
Ready Player One,Mark Rylance,2018
Ready Player One,T.J. Miller,2018
Ready Player One,Philip Zhao,2018
Ready Player One,Lena Waithe,2018
Ready Player One,Win Morisaki,2018
Ready Player One,Hannah John-Kamen,2018
Spider-Man: Into The Spider-Verse 3D,Shameik Moore,2018
Spider-Man: Into The Spider-Verse 3D,Jake Johnson,2018
